Service,ServiceID,Cost
Compute Engine,6F81-5844-456A,1102525.46
Cloud SQL,9662-B51E-5089,125838.53
Networking,E505-1604-58F8,65430.69
Support,2062-016F-44A2,39933.3
Kubernetes Engine,CCD8-9BF1-090E,36624
Cloud Key Management Service (KMS),EE2F-D110-890C,685.72
Cloud Storage,95FF-2EF5-5EA1,5.57
Cloud Logging,5490-F7B7-8DF6,0
Cloud Monitoring,58CD-E7C3-72CA,0
