Service,ServiceID,Cost
Cloud SQL,9662-B51E-5089,306894.1946
Cloud Storage,95FF-2EF5-5EA1,43.762419
Cloud Logging,5490-F7B7-8DF6,88070.06389
Support,2062-016F-44A2,103664.8857
Compute Engine,6F81-5844-456A,2762022.478
Networking,E505-1604-58F8,158748.7665
Kubernetes Engine,CCD8-9BF1-090E,88499.9995
Cloud Key Management Service (KMS),EE2F-D110-890C,1630.893362
Cloud Monitoring,58CD-E7C3-72CA,49586.03169
