Service,ServiceID,Cost
Compute Engine,6F81-5844-456A,679668.31
Cloud SQL,9662-B51E-5089,93233.57
Networking,E505-1604-58F8,55942.5
Kubernetes Engine,CCD8-9BF1-090E,36624
Support,2062-016F-44A2,6886.97
Cloud Key Management Service (KMS),EE2F-D110-890C,662.1
Cloud Storage,95FF-2EF5-5EA1,5.57
Cloud Logging,5490-F7B7-8DF6,0
Cloud Monitoring,58CD-E7C3-72CA,0
