Service,ServiceID,Cost
Compute Engine,6F81-5844-456A,86714.23
Cloud SQL,9662-B51E-5089,47093.15
Networking,E505-1604-58F8,43036.86
Kubernetes Engine,CCD8-9BF1-090E,36624
Support,2062-016F-44A2,6423.33
Cloud Key Management Service (KMS),EE2F-D110-890C,637.06
Cloud Storage,95FF-2EF5-5EA1,5.57
Cloud Logging,5490-F7B7-8DF6,0
