Service,ServiceID,Cost
Cloud Monitoring,58CD-E7C3-72CA,0
Cloud Key Management Service (KMS),EE2F-D110-890C,6885.336754
Support,2062-016F-44A2,167733.4163
Kubernetes Engine,CCD8-9BF1-090E,251999.9986
Networking,E505-1604-58F8,431679.2575
Compute Engine,6F81-5844-456A,3583507.018
Cloud Storage,95FF-2EF5-5EA1,10677.94688
Cloud Logging,5490-F7B7-8DF6,353340.5704
Cloud Memorystore for Redis,5AF5-2C11-D467,166319.999
Cloud SQL,9662-B51E-5089,786699.8278
BigQuery,24E6-581D-38E5,3.912524
