Service,ServiceID,Cost
Cloud Monitoring,58CD-E7C3-72CA,0
Cloud Storage,95FF-2EF5-5EA1,6654.343275
Kubernetes Engine,CCD8-9BF1-090E,88499.9995
Compute Engine,6F81-5844-456A,1433018.167
Cloud Key Management Service (KMS),EE2F-D110-890C,2385.633362
Support,2062-016F-44A2,65818.62494
BigQuery,24E6-581D-38E5,1.332981
Cloud Memorystore for Redis,5AF5-2C11-D467,58409.99965
Cloud Logging,5490-F7B7-8DF6,136429.3494
Cloud SQL,9662-B51E-5089,310702.1143
Networking,E505-1604-58F8,157853.2224
