Service,ServiceID,Cost
Compute Engine,6F81-5844-456A,2146475.11
Cloud SQL,9662-B51E-5089,1002308.56
Networking,E505-1604-58F8,203436.35
Kubernetes Engine,CCD8-9BF1-090E,73248
Support,2062-016F-44A2,60176.12
Cloud Storage,95FF-2EF5-5EA1,6723.46
Cloud Key Management Service (KMS),EE2F-D110-890C,2709.84
Cloud DNS,FA26-5236-B8B5,101.73
Cloud Logging,5490-F7B7-8DF6,0
