Service,ServiceID,Cost
Cloud Storage,95FF-2EF5-5EA1,176.14418
Cloud SQL,9662-B51E-5089,705831.4047
Cloud Key Management Service (KMS),EE2F-D110-890C,4696.851758
Cloud Monitoring,58CD-E7C3-72CA,98632.24027
Networking,E505-1604-58F8,405346.7481
Kubernetes Engine,CCD8-9BF1-090E,251999.9986
Cloud Logging,5490-F7B7-8DF6,161232.2598
Support,2062-016F-44A2,216227.8249
Compute Engine,6F81-5844-456A,5579678.516
