Service,ServiceID,Cost
Compute Engine,6F81-5844-456A,504182.4
Cloud SQL,9662-B51E-5089,79586.58
Networking,E505-1604-58F8,52347.3
Kubernetes Engine,CCD8-9BF1-090E,36624
Support,2062-016F-44A2,20202.15
Cloud Key Management Service (KMS),EE2F-D110-890C,659.17
Cloud Storage,95FF-2EF5-5EA1,5.65
Cloud Logging,5490-F7B7-8DF6,0
Cloud Monitoring,58CD-E7C3-72CA,0
