Service,ServiceID,Cost
Compute Engine,6F81-5844-456A,2250894.6
Cloud SQL,9662-B51E-5089,1002343.15
Networking,E505-1604-58F8,220367.52
Support,2062-016F-44A2,106733.18
Kubernetes Engine,CCD8-9BF1-090E,73248
Cloud Storage,95FF-2EF5-5EA1,8110.79
Cloud Key Management Service (KMS),EE2F-D110-890C,2706.82
Cloud DNS,FA26-5236-B8B5,101.73
Cloud Logging,5490-F7B7-8DF6,0
