Service,ServiceID,Cost
Compute Engine,6F81-5844-456A,2129648.58
Cloud SQL,9662-B51E-5089,1002339.27
Networking,E505-1604-58F8,191074.12
Support,2062-016F-44A2,102182.21
Kubernetes Engine,CCD8-9BF1-090E,73248
Cloud Storage,95FF-2EF5-5EA1,6953.73
Cloud Key Management Service (KMS),EE2F-D110-890C,2708.38
Cloud DNS,FA26-5236-B8B5,101.73
Cloud Logging,5490-F7B7-8DF6,0
