Service,ServiceID,Cost
Places API,213C-9623-1402,459.899994
Cloud Logging,5490-F7B7-8DF6,308665.7564
Cloud DNS,FA26-5236-B8B5,677.419344
Cloud SQL,9662-B51E-5089,6883974.802
Cloud Key Management Service (KMS),EE2F-D110-890C,18677.90175
Cloud Storage,95FF-2EF5-5EA1,287620.2284
Support,2062-016F-44A2,720629.2977
Compute Engine,6F81-5844-456A,14692184.84
Networking,E505-1604-58F8,1325175.66
Kubernetes Engine,CCD8-9BF1-090E,503999.9973
Maps API,1934-AA85-20F9,104.999999
