Service,ServiceID,Cost
Cloud Storage,95FF-2EF5-5EA1,143377.306
Support,2062-016F-44A2,279745.1269
Cloud Logging,5490-F7B7-8DF6,167993.6504
Cloud DNS,FA26-5236-B8B5,254.032254
Places API,213C-9623-1402,18721.19989
Kubernetes Engine,CCD8-9BF1-090E,187784.999
Compute Engine,6F81-5844-456A,5734350.683
Networking,E505-1604-58F8,502586.8278
Maps API,1934-AA85-20F9,2729.999981
Cloud SQL,9662-B51E-5089,2581610.059
Cloud Key Management Service (KMS),EE2F-D110-890C,6880.013167
